# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Oct 12 01:44:50 2013,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,
# COLUMN pl_discmethod:  Discovery Method,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Semi-Major Axis [AU],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter],,,,,,,,,,,,,,,,,,
# COLUMN pl_radlim:      Planet Radius (limit flag),,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_letter,star,pl_radj,pl_orbsmax,texture,,,,,,,day,pl_orbper,year,pl_discmethod,pl_orbincl,pl_radlim
24,61 Vir,c,0,,0.2175,textures/earth.jpg,-,-,-,-,-,-,,38.021,0.104167123,Radial Velocity,,
25,61 Vir,d,0,,0.476,textures/earth.jpg,-,-,-,-,-,-,,123.01,0.337013699,Radial Velocity,,
26,70 Vir,b,0,,0.484,textures/earth.jpg,-,-,-,-,-,-,,116.6884,0.319694247,Radial Velocity,,
27,75 Cet,b,0,,2.1,textures/earth.jpg,-,-,-,-,-,-,,691.9,1.895616438,Radial Velocity,,
28,81 Cet,b,0,,2.5,textures/earth.jpg,-,-,-,-,-,-,,952.7,2.610136986,Radial Velocity,,
29,91 Aqr,b,0,,0.7,textures/earth.jpg,-,-,-,-,-,-,,181.4,0.496986301,Radial Velocity,,
30,AB Pic,b,0,,260,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,
31,CT Cha,b,0,2.2,440,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,0
32,DH Tau,b,0,,330,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,
33,DP Leo,b,0,,8.19,textures/earth.jpg,-,-,-,-,-,-,,10220,28,Eclipse Timing Variations,,
34,FU Tau,b,0,,800,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,
35,GQ Lup,b,0,3,100,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,0
36,HN Peg,b,0,1.051,773,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,0
37,HW Vir,b,0,,,textures/earth.jpg,-,-,-,-,-,-,,5767,15.8,Eclipse Timing Variations,,
38,HW Vir,c,0,,,textures/earth.jpg,-,-,-,-,-,-,,3321,9.098630137,Eclipse Timing Variations,,
39,NN Ser,c,0,,5.38,textures/earth.jpg,-,-,-,-,-,-,,5660,15.50684932,Eclipse Timing Variations,,
40,NN Ser,d,0,,3.39,textures/earth.jpg,-,-,-,-,-,-,,2830,7.753424658,Eclipse Timing Variations,,
41,NY Vir,b,0,,3.3,textures/earth.jpg,-,-,-,-,-,-,,2900,7.945205479,Eclipse Timing Variations,,
42,RR Cae,b,0,,5.3,textures/earth.jpg,-,-,-,-,-,-,,4343.5,11.9,Eclipse Timing Variations,17.6,
43,alpha Ari,b,0,,1.2,textures/earth.jpg,-,-,-,-,-,-,,380.8,1.043287671,Radial Velocity,,
44,alpha Cen B,b,0,,0.04,textures/earth.jpg,-,-,-,-,-,-,,3.2357,0.008864932,Radial Velocity,,
45,beta Pic,b,0,,8,textures/earth.jpg,-,-,-,-,-,-,,6000,16.43835616,Imaging,,
46,epsilon Eri,b,0,,3.39,textures/earth.jpg,-,-,-,-,-,-,,2502,6.854794521,Radial Velocity,30.1,
47,epsilon CrB,b,0,,1.3,textures/earth.jpg,-,-,-,-,-,-,,417.9,1.144931507,Radial Velocity,,
48,epsilon Tau,b,0,,1.93,textures/earth.jpg,-,-,-,-,-,-,,594.9,1.629863014,Radial Velocity,,
49,gamma 1 Leo,b,0,,1.19,textures/earth.jpg,-,-,-,-,-,-,,428.5,1.173972603,Radial Velocity,,
50,gamma Cep,b,0,,2.05,textures/earth.jpg,-,-,-,-,-,-,,903.3,2.474794521,Radial Velocity,,
51,kappa CrB,b,0,,2.6,textures/earth.jpg,-,-,-,-,-,-,,1251,3.42739726,Radial Velocity,,
52,kappa And,b,0,,55,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,
53,ksi Aql,b,0,,0.68,textures/earth.jpg,-,-,-,-,-,-,,136.75,0.374657534,Radial Velocity,,
54,nu Oph,b,0,,1.9,textures/earth.jpg,-,-,-,-,-,-,,530.32,1.452931507,Radial Velocity,,
55,nu Oph,c,0,,6.1,textures/earth.jpg,-,-,-,-,-,-,,3186,8.728767123,Radial Velocity,,
56,omega Ser,b,0,,1.1,textures/earth.jpg,-,-,-,-,-,-,,277.02,0.758958904,Radial Velocity,,
57,omicron CrB,b,0,,0.83,textures/earth.jpg,-,-,-,-,-,-,,187.83,0.51460274,Radial Velocity,,
58,omicron UMa,b,0,,3.9,textures/earth.jpg,-,-,-,-,-,-,,1630,4.465753425,Radial Velocity,,
59,rho CrB,b,0,,0.22,textures/earth.jpg,-,-,-,-,-,-,,39.845,0.109164384,Radial Velocity,,
60,tau Boo,b,0,,0.046,textures/earth.jpg,-,-,-,-,-,-,,3.3135,0.009078082,Radial Velocity,,
61,tau Gem,b,0,,1.17,textures/earth.jpg,-,-,-,-,-,-,,305.5,0.836986301,Radial Velocity,,
62,upsilon And,b,0,,0.059222,textures/earth.jpg,-,-,-,-,-,-,,4.617033,0.012649405,Radial Velocity,,
63,upsilon And,c,0,,0.827774,textures/earth.jpg,-,-,-,-,-,-,,241.258,0.660980822,Radial Velocity,,
64,upsilon And,d,0,,2.51329,textures/earth.jpg,-,-,-,-,-,-,,1276.46,3.497150685,Radial Velocity,,
65,upsilon And,e,0,,5.24558,textures/earth.jpg,-,-,-,-,-,-,,3848.86,10.54482192,Radial Velocity,,
66,Fomalhaut,b,0,1.2,115,textures/earth.jpg,-,-,-,-,-,-,,318280,872,Imaging,,0
67,1RXS J160929.1-210524,b,0,1.664,330,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,0
68,2MASS J01225093-2439505,b,0,,52,textures/earth.jpg,-,-,-,-,-,-,,,0,Imaging,,
69,2MASS J04414489+2301513,b,0,,15,textures/earth.jpg,-,-,-,-,-,-,,,0,Imaging,,
70,2MASS J07464256+2000321A,b,0,0.97,2.897,textures/earth.jpg,-,-,-,-,-,-,,4639.15,12.71,Imaging,138.2,0
71,2MASS J12073346-3932539,b,0,,46,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,
72,2MASS J21402931+1625183A,b,0,0.92,,textures/earth.jpg,-,-,-,-,-,-,,7336.5,20.1,Imaging,46.2,0
73,2MASS J22062280-2047058A,b,0,1.3,,textures/earth.jpg,-,-,-,-,-,-,,8679.7,23.78,Imaging,44.3,0
74,BD-17 63,b,0,,1.34,textures/earth.jpg,-,-,-,-,-,-,,655.6,1.796164384,Radial Velocity,,
75,BD-13 2130,b,0,,2.1,textures/earth.jpg,-,-,-,-,-,-,,714.3,1.956986301,Radial Velocity,,
76,BD-10 3166,b,0,,0.0452,textures/earth.jpg,-,-,-,-,-,-,,3.48777,0.009555534,Radial Velocity,,
77,BD-08 2823,b,0,,0.056,textures/earth.jpg,-,-,-,-,-,-,,5.6,0.015342466,Radial Velocity,,
78,BD-08 2823,c,0,,0.68,textures/earth.jpg,-,-,-,-,-,-,,237.6,0.650958904,Radial Velocity,,
79,BD-06 1339,b,0,,0.0428,textures/earth.jpg,-,-,-,-,-,-,,3.8728,0.010610411,Radial Velocity,,
80,BD-06 1339,c,0,,0.435,textures/earth.jpg,-,-,-,-,-,-,,125.94,0.345041096,Radial Velocity,,
81,BD+14 4559,b,0,,0.777,textures/earth.jpg,-,-,-,-,-,-,,268.94,0.736821918,Radial Velocity,,
82,BD+15 2940,b,0,,0.539,textures/earth.jpg,-,-,-,-,-,-,,137.48,0.376657534,Radial Velocity,,
83,BD+20 2457,b,0,,1.45,textures/earth.jpg,-,-,-,-,-,-,,379.63,1.040082192,Radial Velocity,,
84,BD+20 2457,c,0,,2.01,textures/earth.jpg,-,-,-,-,-,-,,621.99,1.704082192,Radial Velocity,,
85,BD+20 274,b,0,,1.3,textures/earth.jpg,-,-,-,-,-,-,,578.2,1.584109589,Radial Velocity,,
86,BD+48 738,b,0,,1,textures/earth.jpg,-,-,-,-,-,-,,392.6,1.075616438,Radial Velocity,,
87,CFBDSIR J145829+101343,b,0,,2.6,textures/earth.jpg,-,-,-,-,-,-,,10037.5,27.5,Imaging,,
88,CHXR 73,b,0,,210,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,
89,CoRoT-1,b,0,1.49,,textures/earth.jpg,-,-,-,-,-,-,,1.5089557,0.004134125,Transit,85.1,0
90,CoRoT-2,b,0,1.466,0.02798,textures/earth.jpg,-,-,-,-,-,-,,1.7429935,0.004775325,Transit,88.08,0
91,CoRoT-3,b,0,1.01,,textures/earth.jpg,-,-,-,-,-,-,,4.2568,0.011662466,Transit,85.9,0
92,CoRoT-4,b,0,1.19,0.09,textures/earth.jpg,-,-,-,-,-,-,,9.20205,0.025211096,Transit,90,0
93,CoRoT-5,b,0,1.388,0.04947,textures/earth.jpg,-,-,-,-,-,-,,4.0378962,0.011062729,Transit,85.83,0
94,CoRoT-6,b,0,1.166,0.0855,textures/earth.jpg,-,-,-,-,-,-,,8.886593,0.02434683,Transit,89.07,0
95,CoRoT-7,b,0,0.15,0.0172,textures/earth.jpg,-,-,-,-,-,-,,0.853585,0.002338589,Transit,80.1,0
96,CoRoT-7,c,0,,0.046,textures/earth.jpg,-,-,-,-,-,-,,3.698,0.010131507,Radial Velocity,,
97,CoRoT-8,b,0,0.57,0.063,textures/earth.jpg,-,-,-,-,-,-,,6.21229,0.017019973,Transit,88.4,0
98,CoRoT-9,b,0,1.05,0.407,textures/earth.jpg,-,-,-,-,-,-,,95.2738,0.26102411,Transit,89.99,0
99,CoRoT-10,b,0,0.97,0.1055,textures/earth.jpg,-,-,-,-,-,-,,13.2406,0.036275616,Transit,88.55,0
100,CoRoT-11,b,0,1.43,0.0436,textures/earth.jpg,-,-,-,-,-,-,,2.99433,0.008203644,Transit,83.17,0
101,CoRoT-12,b,0,1.44,0.04016,textures/earth.jpg,-,-,-,-,-,-,,2.828042,0.00774806,Transit,85.48,0
102,CoRoT-13,b,0,0.885,0.051,textures/earth.jpg,-,-,-,-,-,-,,4.03519,0.011055315,Transit,88.02,0
103,CoRoT-14,b,0,1.09,0.027,textures/earth.jpg,-,-,-,-,-,-,,1.51214,0.004142849,Transit,79.6,0
104,CoRoT-16,b,0,1.17,0.0618,textures/earth.jpg,-,-,-,-,-,-,,5.35227,0.014663753,Transit,85.01,0
105,CoRoT-17,b,0,1.02,0.0461,textures/earth.jpg,-,-,-,-,-,-,,3.7681,0.010323562,Transit,88.34,0
106,CoRoT-18,b,0,1.31,0.0295,textures/earth.jpg,-,-,-,-,-,-,,1.9000693,0.005205669,Transit,86.5,0
107,CoRoT-19,b,0,1.29,0.0518,textures/earth.jpg,-,-,-,-,-,-,,3.89713,0.010677068,Transit,88,0
108,CoRoT-20,b,0,0.84,0.0902,textures/earth.jpg,-,-,-,-,-,-,,9.24285,0.025322877,Transit,88.21,0
109,CoRoT-23,b,0,1.05,0.048,textures/earth.jpg,-,-,-,-,-,-,,3.6313,0.009948767,Transit,85.7,0
110,DENIS-P J082303.1-491201,b,0,,0.36,textures/earth.jpg,-,-,-,-,-,-,,246.36,0.674958904,Astrometry,56.6,
111,GJ 86,b,0,,0.113,textures/earth.jpg,-,-,-,-,-,-,,15.76491,0.043191534,Radial Velocity,,
112,GJ 163,b,0,,0.061,textures/earth.jpg,-,-,-,-,-,-,,8.631,0.023646575,Radial Velocity,,
113,GJ 163,c,0,,0.13,textures/earth.jpg,-,-,-,-,-,-,,25.6,0.070136986,Radial Velocity,,
114,GJ 163,d,0,,1,textures/earth.jpg,-,-,-,-,-,-,,603,1.652054795,Radial Velocity,,
115,GJ 179,b,0,,2.41,textures/earth.jpg,-,-,-,-,-,-,,2288,6.268493151,Radial Velocity,,
116,GJ 317,b,0,,1.15,textures/earth.jpg,-,-,-,-,-,-,,692,1.895890411,Radial Velocity,45,
117,GJ 317,c,0,,5.5,textures/earth.jpg,-,-,-,-,-,-,,7100,19.45205479,Radial Velocity,,
118,GJ 328,b,0,,4.5,textures/earth.jpg,-,-,-,-,-,-,,4100,11.23287671,Radial Velocity,,
119,GJ 433,b,0,,0.058,textures/earth.jpg,-,-,-,-,-,-,,7.3709,0.020194247,Radial Velocity,,
120,GJ 436,b,0,0.377,0.02872,textures/earth.jpg,-,-,-,-,-,-,,2.64385,0.007243425,Radial Velocity,86.36,0
121,GJ 504,b,0,,43.5,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,
122,GJ 581,b,0,,0.04,textures/earth.jpg,-,-,-,-,-,-,,5.36874,0.014708877,Radial Velocity,,
123,GJ 581,c,0,,0.07,textures/earth.jpg,-,-,-,-,-,-,,12.9292,0.035422466,Radial Velocity,,
124,GJ 581,d,0,,0.22,textures/earth.jpg,-,-,-,-,-,-,,66.8,0.183013699,Radial Velocity,,
125,GJ 581,e,0,,0.03,textures/earth.jpg,-,-,-,-,-,-,,3.14942,0.008628548,Radial Velocity,,
126,GJ 649,b,0,,1.135,textures/earth.jpg,-,-,-,-,-,-,,598.3,1.639178082,Radial Velocity,,
127,GJ 667C,b,0,,0.0505,textures/earth.jpg,-,-,-,-,-,-,,7.2004,0.019727123,Radial Velocity,,
128,GJ 667C,c,0,,0.125,textures/earth.jpg,-,-,-,-,-,-,,28.14,0.07709589,Radial Velocity,,
129,GJ 667C,d,0,,0.276,textures/earth.jpg,-,-,-,-,-,-,,91.61,0.250986301,Radial Velocity,,
130,GJ 667C,e,0,,0.213,textures/earth.jpg,-,-,-,-,-,-,,62.24,0.170520548,Radial Velocity,,
131,GJ 667C,f,0,,0.156,textures/earth.jpg,-,-,-,-,-,-,,39.026,0.106920548,Radial Velocity,,
132,GJ 667C,g,0,,0.549,textures/earth.jpg,-,-,-,-,-,-,,256.2,0.701917808,Radial Velocity,,
133,GJ 674,b,0,,0.039,textures/earth.jpg,-,-,-,-,-,-,,4.6938,0.012859726,Radial Velocity,,
134,GJ 676A,b,0,,1.8,textures/earth.jpg,-,-,-,-,-,-,,1050.3,2.877534247,Radial Velocity,,
135,GJ 676A,d,0,,0.0413,textures/earth.jpg,-,-,-,-,-,-,,3.6,0.009863014,Radial Velocity,,
136,GJ 676A,e,0,,0.187,textures/earth.jpg,-,-,-,-,-,-,,35.37,0.09690411,Radial Velocity,,
137,GJ 832,b,0,,3.4,textures/earth.jpg,-,-,-,-,-,-,,3416,9.35890411,Radial Velocity,,
138,GJ 849,b,0,,2.32,textures/earth.jpg,-,-,-,-,-,-,,1845,5.054794521,Radial Velocity,,
139,GJ 876,b,0,,0.208317,textures/earth.jpg,-,-,-,-,-,-,,61.1166,0.16744274,Radial Velocity,59,
140,GJ 876,c,0,,0.12959,textures/earth.jpg,-,-,-,-,-,-,,30.0881,0.082433151,Radial Velocity,59,
141,GJ 876,d,0,,0.020807,textures/earth.jpg,-,-,-,-,-,-,,1.93778,0.005308986,Radial Velocity,59,
142,GJ 876,e,0,,0.3343,textures/earth.jpg,-,-,-,-,-,-,,124.26,0.340438356,Radial Velocity,59,
143,GJ 1214,b,0,0.203,,textures/earth.jpg,-,-,-,-,-,-,,1.58040482,0.004329876,Transit,90,0
144,GJ 3021,b,0,,0.49,textures/earth.jpg,-,-,-,-,-,-,,133.71,0.366328767,Radial Velocity,,
145,GJ 3470,b,0,0.37,0.0348,textures/earth.jpg,-,-,-,-,-,-,,3.33714,0.009142849,Radial Velocity,88.8,0
146,GJ 3634,b,0,,0.0287,textures/earth.jpg,-,-,-,-,-,-,,2.64561,0.007248247,Radial Velocity,59,
147,GSC 06214-00210,b,0,,300,textures/earth.jpg,-,-,-,-,-,-,,,,Imaging,,
148,HAT-P-1,b,0,1.225,,textures/earth.jpg,-,-,-,-,-,-,,4.4652934,0.012233681,Transit,86.28,0
149,HAT-P-2,b,0,1.157,0.06878,textures/earth.jpg,-,-,-,-,-,-,,5.6334729,0.015434172,Transit,86.72,0
150,HAT-P-3,b,0,0.827,0.03866,textures/earth.jpg,-,-,-,-,-,-,,2.899736,0.007944482,Transit,87.07,0
151,HAT-P-4,b,0,1.274,0.04438,textures/earth.jpg,-,-,-,-,-,-,,3.056536,0.008374071,Transit,89.91,0
152,HAT-P-5,b,0,1.26,0.04075,textures/earth.jpg,-,-,-,-,-,-,,2.788491,0.007639701,Transit,86.75,0
153,HAT-P-6,b,0,1.33,0.05235,textures/earth.jpg,-,-,-,-,-,-,,3.852985,0.010556123,Transit,85.51,0
154,HAT-P-8,b,0,1.5,0.0487,textures/earth.jpg,-,-,-,-,-,-,,3.0763776,0.008428432,Transit,87.5,0
155,HAT-P-9,b,0,1.4,0.053,textures/earth.jpg,-,-,-,-,-,-,,3.92289,0.010747644,Transit,86.5,0
156,HAT-P-12,b,0,0.959,0.0384,textures/earth.jpg,-,-,-,-,-,-,,3.2130598,0.008802904,Transit,89,0
157,HAT-P-13,b,0,1.271,0.0427,textures/earth.jpg,-,-,-,-,-,-,,2.91626,0.007989753,Transit,83.4,0
158,HAT-P-13,c,0,,1.188,textures/earth.jpg,-,-,-,-,-,-,,428.5,1.173972603,Radial Velocity,,
159,HAT-P-14,b,0,1.15,0.0606,textures/earth.jpg,-,-,-,-,-,-,,4.627669,0.012678545,Transit,83.5,0
160,HAT-P-15,b,0,1.072,0.0964,textures/earth.jpg,-,-,-,-,-,-,,10.863502,0.029763019,Transit,89.1,0
161,HAT-P-16,b,0,1.289,0.0413,textures/earth.jpg,-,-,-,-,-,-,,2.77596,0.00760537,Transit,86.6,0
162,HAT-P-17,b,0,1.01,0.0882,textures/earth.jpg,-,-,-,-,-,-,,10.338523,0.028324721,Transit,89.2,0
163,HAT-P-17,c,0,,5.6,textures/earth.jpg,-,-,-,-,-,-,,5584,15.29863014,Radial Velocity,,
164,HAT-P-18,b,0,0.995,0.0559,textures/earth.jpg,-,-,-,-,-,-,,5.508023,0.015090474,Transit,88.8,0
165,HAT-P-19,b,0,1.132,0.0466,textures/earth.jpg,-,-,-,-,-,-,,4.008778,0.010982953,Transit,88.2,0
166,HAT-P-20,b,0,0.867,0.0361,textures/earth.jpg,-,-,-,-,-,-,,2.875317,0.007877581,Transit,86.8,0
167,HAT-P-21,b,0,1.024,0.0494,textures/earth.jpg,-,-,-,-,-,-,,4.124481,0.011299948,Transit,87.2,0
168,HAT-P-22,b,0,1.08,0.0414,textures/earth.jpg,-,-,-,-,-,-,,3.21222,0.008800603,Transit,86.9,0
169,HAT-P-23,b,0,1.368,0.0232,textures/earth.jpg,-,-,-,-,-,-,,1.212884,0.00332297,Transit,85.1,0
170,HAT-P-24,b,0,1.242,0.0465,textures/earth.jpg,-,-,-,-,-,-,,3.35524,0.009192438,Transit,88.6,0
171,HAT-P-25,b,0,1.19,0.0466,textures/earth.jpg,-,-,-,-,-,-,,3.652836,0.01000777,Transit,87.6,0
172,HAT-P-26,b,0,0.565,0.0479,textures/earth.jpg,-,-,-,-,-,-,,4.234516,0.011601414,Transit,88.6,0
173,HAT-P-27,b,0,1.02,0.04,textures/earth.jpg,-,-,-,-,-,-,,3.039577,0.008327608,Transit,85,0
174,HAT-P-28,b,0,1.212,0.0434,textures/earth.jpg,-,-,-,-,-,-,,3.257215,0.008923877,Transit,88,0
175,HAT-P-29,b,0,1.107,0.0667,textures/earth.jpg,-,-,-,-,-,-,,5.723186,0.015679962,Transit,87.1,0
176,HAT-P-30,b,0,1.34,0.0419,textures/earth.jpg,-,-,-,-,-,-,,2.810595,0.00770026,Transit,83.6,0
177,HAT-P-31,b,0,1.07,0.055,textures/earth.jpg,-,-,-,-,-,-,,5.005425,0.013713493,Transit,87.1,0
178,HAT-P-31,c,0,,,textures/earth.jpg,-,-,-,-,-,-,,1022,2.8,Radial Velocity,,
179,HAT-P-32,b,0,1.789,0.0343,textures/earth.jpg,-,-,-,-,-,-,,2.150008,0.005890433,Transit,88.9,0
180,HAT-P-33,b,0,1.686,0.0499,textures/earth.jpg,-,-,-,-,-,-,,3.474474,0.009519107,Transit,87.2,0
181,HAT-P-34,b,0,1.197,0.0677,textures/earth.jpg,-,-,-,-,-,-,,5.452654,0.014938778,Transit,87.1,0
182,HAT-P-35,b,0,1.332,0.0498,textures/earth.jpg,-,-,-,-,-,-,,3.646706,0.009990975,Transit,87.3,0
183,HAT-P-36,b,0,1.264,0.0238,textures/earth.jpg,-,-,-,-,-,-,,1.327347,0.003636567,Transit,86,0
184,HAT-P-37,b,0,1.178,0.0379,textures/earth.jpg,-,-,-,-,-,-,,2.797436,0.007664208,Transit,86.9,0
185,HAT-P-38,b,0,0.825,0.0523,textures/earth.jpg,-,-,-,-,-,-,,4.640382,0.012713375,Transit,88.3,0
186,HAT-P-39,b,0,1.571,0.0509,textures/earth.jpg,-,-,-,-,-,-,,3.54387,0.009709233,Transit,87,0
187,HAT-P-40,b,0,1.73,0.0608,textures/earth.jpg,-,-,-,-,-,-,,4.457243,0.012211625,Transit,88.3,0
188,HAT-P-41,b,0,1.685,0.0426,textures/earth.jpg,-,-,-,-,-,-,,2.694047,0.007380951,Transit,87.7,0
189,HATS-1,b,0,1.302,0.0444,textures/earth.jpg,-,-,-,-,-,-,,3.446459,0.009442353,Transit,85.6,0
190,HATS-2,b,0,1.168,0.023,textures/earth.jpg,-,-,-,-,-,-,,1.354133,0.003709953,Transit,87.2,0
191,HATS-3,b,0,1.381,0.0485,textures/earth.jpg,-,-,-,-,-,-,,3.547851,0.00972014,Transit,86.2,0
192,HD 142,b,0,,1.02,textures/earth.jpg,-,-,-,-,-,-,,349.7,0.958082192,Radial Velocity,,
193,HD 142,c,0,,6.8,textures/earth.jpg,-,-,-,-,-,-,,6005,16.45205479,Radial Velocity,,
194,HD 1461,b,0,,0.063438,textures/earth.jpg,-,-,-,-,-,-,,5.7727,0.015815616,Radial Velocity,,
195,HD 1461,c,0,,0.1117,textures/earth.jpg,-,-,-,-,-,-,,13.505,0.037,Radial Velocity,,
196,HD 1502,b,0,,1.31,textures/earth.jpg,-,-,-,-,-,-,,431.8,1.183013699,Radial Velocity,,
197,HD 1690,b,0,,1.3,textures/earth.jpg,-,-,-,-,-,-,,533,1.460273973,Radial Velocity,,
198,HD 2039,b,0,,2.2,textures/earth.jpg,-,-,-,-,-,-,,1183,3.24109589,Radial Velocity,,
199,HD 2638,b,0,,0.044,textures/earth.jpg,-,-,-,-,-,-,,3.4442,0.009436164,Radial Velocity,,
200,HD 2952,b,0,,1.2,textures/earth.jpg,-,-,-,-,-,-,,311.6,0.85369863,Radial Velocity,,
201,HD 3651,b,0,,0.295,textures/earth.jpg,-,-,-,-,-,-,,62.218,0.170460274,Radial Velocity,,
202,HD 4113,b,0,,1.28,textures/earth.jpg,-,-,-,-,-,-,,526.62,1.442794521,Radial Velocity,,
203,HD 4208,b,0,,1.7,textures/earth.jpg,-,-,-,-,-,-,,829,2.271232877,Radial Velocity,,
204,HD 4308,b,0,,0.118,textures/earth.jpg,-,-,-,-,-,-,,15.609,0.042764384,Radial Velocity,,
205,HD 4203,b,0,,1.164,textures/earth.jpg,-,-,-,-,-,-,,431.88,1.183232877,Radial Velocity,,
206,HD 4313,b,0,,1.19,textures/earth.jpg,-,-,-,-,-,-,,356,0.975342466,Radial Velocity,,
207,HD 4732,b,0,,1.19,textures/earth.jpg,-,-,-,-,-,-,,360.2,0.986849315,Radial Velocity,,
208,HD 4732,c,0,,4.6,textures/earth.jpg,-,-,-,-,-,-,,2732,7.484931507,Radial Velocity,,
